Nombre;Total;Por mil
ANTONIO;674.765;32,879
JOSE;592.425;28,867
MANUEL;588.899;28,695
FRANCISCO;497.527;24,243
DAVID;359.126;17,499
JUAN;345.922;16,856
JOSE ANTONIO;308.101;15,013
JAVIER;305.494;14,886
JOSE LUIS;290.308;14,146
DANIEL;287.153;13,992
FRANCISCO JAVIER;286.649;13,967
CARLOS;277.336;13,514
JESUS;277.195;13,507
ALEJANDRO;256.646;12,505
MIGUEL;247.058;12,038
JOSE MANUEL;240.774;11,732
RAFAEL;235.045;11,453
PEDRO;224.357;10,932
MIGUEL ANGEL;224.177;10,923
ANGEL;219.652;10,703
PABLO;216.336;10,541
JOSE MARIA;207.721;10,122
SERGIO;205.179;9,998
FERNANDO;202.573;9,871
LUIS;193.363;9,422
JORGE;191.585;9,335
ALBERTO;178.094;8,678
ALVARO;157.618;7,68
JUAN CARLOS;155.321;7,568
JUAN JOSE;152.543;7,433
DIEGO;150.550;7,336
ADRIAN;147.928;7,208
RAUL;139.154;6,78
JUAN ANTONIO;133.904;6,525
ENRIQUE;129.281;6,299
IVAN;128.800;6,276
RUBEN;127.214;6,199
RAMON;123.014;5,994
OSCAR;121.768;5,933
VICENTE;119.554;5,825
ANDRES;115.596;5,633
JUAN MANUEL;112.264;5,47
JOAQUIN;112.165;5,465
SANTIAGO;108.810;5,302
EDUARDO;104.952;5,114
VICTOR;102.961;5,017
MARIO;99.882;4,867
JAIME;96.238;4,689
ROBERTO;95.542;4,655
FRANCISCO JOSE;95.190;4,638
MARCOS;90.710;4,42
IGNACIO;89.805;4,376
ALFONSO;84.385;4,112
JORDI;82.954;4,042
SALVADOR;81.155;3,954
RICARDO;80.377;3,916
HUGO;77.945;3,798
EMILIO;72.921;3,553
GUILLERMO;71.763;3,497
MARC;68.168;3,322
JULIO;67.373;3,283
GABRIEL;66.998;3,265
JULIAN;66.957;3,263
GONZALO;65.637;3,198
JOSE MIGUEL;64.242;3,13
TOMAS;64.077;3,122
AGUSTIN;62.562;3,048
JOSE RAMON;58.538;2,852
MARTIN;56.826;2,769
FELIX;55.902;2,724
JOAN;55.792;2,719
NICOLAS;55.284;2,694
ISMAEL;53.724;2,618
SAMUEL;52.022;2,535
CRISTIAN;50.649;2,468
AITOR;50.564;2,464
HECTOR;47.071;2,294
JUAN FRANCISCO;47.041;2,292
JOSEP;46.234;2,253
MARIANO;45.051;2,195
IKER;44.881;2,187
DOMINGO;44.526;2,17
JOSE CARLOS;44.277;2,157
LUCAS;43.731;2,131
ALFREDO;42.777;2,084
CESAR;42.619;2,077
ALEX;41.742;2,034
SEBASTIAN;41.398;2,017
JOSE ANGEL;40.555;1,976
FELIPE;40.165;1,957
JOSE IGNACIO;39.365;1,918
VICTOR MANUEL;38.194;1,861
RODRIGO;36.648;1,786
LUIS MIGUEL;36.134;1,761
JOSE FRANCISCO;34.232;1,668
JUAN LUIS;34.105;1,662
GREGORIO;33.865;1,65
XAVIER;33.836;1,649
ALBERT;33.324;1,624
MATEO;31.161;1,518
LORENZO;30.810;1,501
PAU;30.762;1,499
CRISTOBAL;30.365;1,48
ESTEBAN;30.274;1,475
ANTONIO JOSE;30.104;1,467
BORJA;30.068;1,465
ARTURO;29.428;1,434
AARON;28.667;1,397
EUGENIO;27.663;1,348
JOSE JAVIER;27.560;1,343
JUAN MIGUEL;26.857;1,309
ANTONIO JESUS;26.720;1,302
JESUS MARIA;26.318;1,282
ERIC;26.264;1,28
ISAAC;26.183;1,276
FRANCISCO MANUEL;26.008;1,267
JAUME;25.899;1,262
IZAN;25.758;1,255
ASIER;25.532;1,244
JOEL;25.308;1,233
GERMAN;24.529;1,195
PEDRO JOSE;23.997;1,169
ABEL;23.971;1,168
JOSE VICENTE;23.623;1,151
JONATHAN;23.295;1,135
MIKEL;23.108;1,126
UNAI;22.897;1,116
SERGI;22.752;1,109
MOISES;22.604;1,101
DARIO;22.589;1,101
JUAN RAMON;21.983;1,071
VALENTIN;21.859;1,065
ADOLFO;21.616;1,053
JUAN PEDRO;21.465;1,046
IÑIGO;21.339;1,04
CHRISTIAN;20.853;1,016
MANUEL JESUS;20.762;1,012
MOHAMED;20.760;1,012
JON;20.516;1
GERARD;20.509;0,999
BRUNO;20.272;0,988
POL;20.271;0,988
ISIDRO;20.109;0,98
BENITO;19.960;0,973
MIQUEL;19.606;0,955
ERNESTO;19.492;0,95
ARNAU;19.247;0,938
ISRAEL;19.209;0,936
ORIOL;19.205;0,936
BERNARDO;19.112;0,931
GERARDO;18.882;0,92
ANTONIO MANUEL;18.738;0,913
CARMELO;18.561;0,904
ELOY;18.354;0,894
JONATAN;18.225;0,888
FRANCESC;17.987;0,876
PASCUAL;17.893;0,872
JESUS MANUEL;17.277;0,842
FEDERICO;17.154;0,836
MARCO;17.046;0,831
JUAN JESUS;16.677;0,813
JOSE ALBERTO;16.619;0,81
BARTOLOME;16.337;0,796
ADRIA;16.316;0,795
JOSEP MARIA;16.251;0,792
LEO;16.200;0,789
IÑAKI;15.902;0,775
ALONSO;15.661;0,763
MARCELINO;15.572;0,759
PERE;15.509;0,756
ROGER;15.486;0,755
CARLES;15.353;0,748
FERMIN;15.345;0,748
LLUIS;15.120;0,737
ANTONI;14.906;0,726
ELIAS;14.714;0,717
PEDRO ANTONIO;14.695;0,716
BENJAMIN;14.681;0,715
MARTI;14.628;0,713
GUILLEM;14.616;0,712
KEVIN;14.528;0,708
AURELIO;14.372;0,7
ANDER;14.338;0,699
LUIS ALBERTO;14.312;0,697
MATIAS;14.310;0,697
JOSE ENRIQUE;14.300;0,697
SAUL;14.269;0,695
ANGEL LUIS;14.175;0,691
OLIVER;13.792;0,672
JUAN IGNACIO;13.563;0,661
FRANCISCO JESUS;13.544;0,66
ERIK;13.254;0,646
JACINTO;13.210;0,644
XABIER;13.121;0,639
EUSEBIO;13.108;0,639
ABRAHAM;13.072;0,637
JUAN PABLO;13.055;0,636
JERONIMO;12.984;0,633
GORKA;12.906;0,629
MARCO ANTONIO;12.895;0,628
FERRAN;12.725;0,62
VICTORIANO;12.723;0,62
ALEIX;12.652;0,616
JOSE JUAN;12.625;0,615
MANUEL ANGEL;12.544;0,611
OMAR;12.484;0,608
JULEN;12.267;0,598
ISIDORO;12.016;0,585
GUSTAVO;11.949;0,582
ENRIC;11.751;0,573
DAMIAN;11.749;0,572
YERAY;11.695;0,57
CARLOS JAVIER;11.692;0,57
LUIS MANUEL;11.642;0,567
BLAS;11.623;0,566
JUAN BAUTISTA;11.513;0,561
TEODORO;11.486;0,56
DIONISIO;11.442;0,558
PEDRO LUIS;11.413;0,556
CANDIDO;11.225;0,547
JUSTO;11.192;0,545
SANTOS;11.186;0,545
GINES;11.183;0,545
FLORENCIO;11.067;0,539
ARMANDO;10.982;0,535
JOSE DAVID;10.949;0,534
JOSE JOAQUIN;10.909;0,532
LUIS FERNANDO;10.802;0,526
CARLOS ALBERTO;10.799;0,526
JUAN MARIA;10.783;0,525
ROMAN;10.352;0,504
ENEKO;10.339;0,504
ALEXANDER;10.153;0,495
JAIRO;10.131;0,494
JAN;10.112;0,493
LEONARDO;10.110;0,493
SERAFIN;10.045;0,489
EDUARD;9.991;0,487
EMILIANO;9.988;0,487
FRANCISCO ANTONIO;9.941;0,484
EMILIO JOSE;9.856;0,48
FAUSTINO;9.769;0,476
JESUS ANGEL;9.668;0,471
MAXIMO;9.585;0,467
JOSE ANDRES;9.566;0,466
LUIS MARIA;9.491;0,462
ADAM;9.401;0,458
EDGAR;9.363;0,456
ENZO;9.345;0,455
FIDEL;9.276;0,452
BIEL;9.217;0,449
AMADOR;9.204;0,448
LUIS ANGEL;9.117;0,444
LUIS ANTONIO;9.019;0,439
RAMIRO;8.935;0,435
JACOBO;8.902;0,434
SIMON;8.793;0,428
NIL;8.781;0,428
ROGELIO;8.736;0,426
FRANCISCO MIGUEL;8.735;0,426
IAN;8.705;0,424
EZEQUIEL;8.548;0,417
ALEXIS;8.522;0,415
PEDRO MANUEL;8.433;0,411
ANDREU;8.431;0,411
CLAUDIO;8.209;0,4
ILDEFONSO;8.200;0,4
MANUEL ANTONIO;8.195;0,399
YAGO;8.160;0,398
JUAN DIOS;8.154;0,397
MODESTO;8.116;0,395
FLORENTINO;8.027;0,391
ALEXANDRE;8.009;0,39
JOAQUIM;7.981;0,389
JUAN VICENTE;7.979;0,389
LUCIANO;7.866;0,383
JOSE FERNANDO;7.852;0,383
ANTONIO JAVIER;7.777;0,379
MANUEL JOSE;7.733;0,377
JUAN DIEGO;7.705;0,375
ANTONIO MIGUEL;7.660;0,373
PAULINO;7.612;0,371
IBAI;7.581;0,369
JOSE DANIEL;7.576;0,369
CAYETANO;7.574;0,369
JULIO CESAR;7.564;0,369
ANTONIO LUIS;7.523;0,367
CONSTANTINO;7.476;0,364
LUIS JAVIER;7.420;0,362
ELADIO;7.396;0,36
JUAN ANDRES;7.387;0,36
AVELINO;7.384;0,36
CELESTINO;7.359;0,359
PEDRO MARIA;7.342;0,358
PEDRO JESUS;7.283;0,355
IAGO;7.281;0,355
ARITZ;7.267;0,354
JOSUE;7.241;0,353
LEANDRO;7.231;0,352
SATURNINO;7.196;0,351
MANEL;7.083;0,345
IGOR;7.063;0,344
AIMAR;7.034;0,343
FRANCESC XAVIER;6.993;0,341
RUFINO;6.940;0,338
NESTOR;6.882;0,335
JUAN ANGEL;6.865;0,335
CARLOS MANUEL;6.861;0,334
ANGEL MANUEL;6.845;0,334
MAURO;6.758;0,329
IMANOL;6.708;0,327
FABIAN;6.700;0,326
LUIS CARLOS;6.670;0,325
GASPAR;6.557;0,319
RICARD;6.454;0,314
GAEL;6.419;0,313
MARKEL;6.399;0,312
CLEMENTE;6.365;0,31
DYLAN;6.340;0,309
OIER;6.299;0,307
ANDONI;6.283;0,306
BASILIO;6.257;0,305
RAIMUNDO;6.210;0,303
FELICIANO;6.136;0,299
JOSU;6.108;0,298
BRAIS;6.098;0,297
JORGE LUIS;6.056;0,295
AHMED;6.043;0,294
HILARIO;6.017;0,293
BERNAT;5.959;0,29
EVARISTO;5.857;0,285
ANGEL MARIA;5.834;0,284
JOSEBA;5.814;0,283
JESUS ANTONIO;5.803;0,283
MARCELO;5.750;0,28
JUAN ALBERTO;5.724;0,279
DIDAC;5.701;0,278
FERNANDO JOSE;5.661;0,276
MARCIAL;5.661;0,276
LAUREANO;5.647;0,275
ELISEO;5.605;0,273
NARCISO;5.506;0,268
BENIGNO;5.460;0,266
CECILIO;5.373;0,262
ANTONIO FRANCISCO;5.354;0,261
BERNARDINO;5.343;0,26
PATRICIO;5.334;0,26
PEDRO PABLO;5.298;0,258
SEGUNDO;5.292;0,258
FRANCISCO LUIS;5.286;0,258
ALAN;5.220;0,254
ROBERTO CARLOS;5.214;0,254
NOEL;5.195;0,253
LEOPOLDO;5.178;0,252
VALERIANO;5.109;0,249
LUCA;5.108;0,249
PEDRO JAVIER;5.064;0,247
MOHAMMED;4.982;0,243
CESAREO;4.964;0,242
ADAN;4.959;0,242
DEMETRIO;4.948;0,241
CAMILO;4.873;0,237
LUIS ENRIQUE;4.860;0,237
ROQUE;4.776;0,233
FRANCISCO BORJA;4.697;0,229
ANASTASIO;4.677;0,228
PELAYO;4.676;0,228
CIPRIANO;4.638;0,226
FABIO;4.616;0,225
OCTAVIO;4.603;0,224
JOSE FELIX;4.554;0,222
BERNABE;4.551;0,222
BIENVENIDO;4.549;0,222
FRANCISCO ASIS;4.539;0,221
BALTASAR;4.515;0,22
JESUS MIGUEL;4.497;0,219
CARLOS JOSE;4.490;0,219
THIAGO;4.486;0,219
ANSELMO;4.473;0,218
MANUEL ALEJANDRO;4.455;0,217
ROBERT;4.441;0,216
JOSE GABRIEL;4.431;0,216
ALAIN;4.430;0,216
MARCEL;4.429;0,216
AMADEO;4.397;0,214
LAZARO;4.390;0,214
JOSE PEDRO;4.384;0,214
LUCIO;4.366;0,213
MANUEL FRANCISCO;4.365;0,213
